Model,Parameters (M),Loading Time (s),Memory Used (GB),Memory/Param (MB/M)
distilbert-base-uncased,66.4,0.61,0.01,0.2
distilbert-base-cased,65.2,0.55,0.01,0.1
distilroberta-base,82.1,0.75,0.03,0.3
albert-base-v1,11.7,0.20,0.02,1.6
albert-base-v2,11.7,0.27,0.02,1.6
albert-large-v2,17.7,0.44,0.01,0.7
squeezebert-uncased,51.1,0.86,0.22,4.5
electra-small-discriminator,13.5,0.54,0.05,4.0
DialoGPT-small,124.4,0.52,0.26,2.2
TinyLlama-1.1B-Chat-v1.0,1034.5,1.52,1.68,1.7
phi-1,1313.4,2.21,-0.03,-0.0
phi-1_5,1313.4,2.00,0.01,0.0
bert-base-uncased,109.5,1.06,-0.01,-0.1
bert-base-cased,108.3,1.08,0.00,0.0
bert-large-uncased,335.1,2.72,-0.02,-0.0
bert-large-cased,333.6,2.74,0.00,0.0
roberta-base,124.6,1.22,-0.06,-0.5
roberta-large,355.4,2.95,-0.05,-0.2
deberta-base,138.6,0.69,0.16,1.2
deberta-large,405.2,1.15,0.20,0.5
electra-base-discriminator,108.9,0.69,-0.22,-2.0
electra-large-discriminator,334.1,1.36,-0.22,-0.7
bart-base,139.4,1.69,-0.01,-0.1
xlm-roberta-base,278.0,2.69,0.22,0.8
xlm-roberta-large,559.9,4.89,0.05,0.1
distiluse-base-multilingual-cased,134.7,1.32,0.01,0.1
gpt2,124.4,1.24,0.00,0.0
gpt2-medium,354.8,2.92,-0.00,-0.0
gpt2-large,774.0,6.02,0.00,0.0
DialoGPT-medium,354.8,0.99,0.23,0.7
DialoGPT-large,774.0,1.70,0.46,0.6
gpt-neo-125m,125.2,1.27,-0.04,-0.3
gpt-neo-1.3B,1315.6,9.69,-0.05,-0.0
gpt-j-6b,5844.4,130.09,-4.28,-0.8
pythia-70m,44.7,0.60,0.20,4.6
pythia-160m,123.7,0.56,0.47,3.9
pythia-410m,353.8,0.92,0.51,1.5
pythia-1b,908.8,1.45,2.09,2.3
pythia-1.4b,1311.6,2.03,0.02,0.0
pythia-2.8b,2646.4,3.84,1.79,0.7
opt-125m,125.2,0.78,-1.47,-12.0
opt-350m,331.2,1.14,-1.79,-5.5
opt-1.3b,1315.8,1.95,0.90,0.7
opt-2.7b,2651.6,53.63,1.13,0.4
opt-6.7b,6658.5,94.54,-0.85,-0.1
