Model,128 tok/s,512 tok/s,1024 tok/s
distilbert-base-uncased,24772,101908,OOM
distilbert-base-cased,25155,100060,OOM
distilroberta-base,22846,90393,OOM
albert-base-v1,12815,51905,OOM
albert-base-v2,10972,43562,OOM
albert-large-v2,5764,17743,OOM
squeezebert-uncased,14209,56561,OOM
electra-small-discriminator,15360,62639,OOM
DialoGPT-small,13655,54008,105830
TinyLlama-1.1B-Chat-v1.0,4864,5615,4031
phi-1,4152,5391,2665
phi-1_5,4287,5538,2721
bert-base-uncased,12969,50584,OOM
bert-base-cased,12937,50614,OOM
bert-large-uncased,6631,26052,OOM
bert-large-cased,6669,26191,OOM
roberta-base,12394,49285,OOM
roberta-large,6539,25985,OOM
deberta-base,6654,27289,OOM
deberta-large,3414,5413,OOM
electra-base-discriminator,15290,61139,OOM
electra-large-discriminator,7931,32328,OOM
bart-base,12633,29175,30681
xlm-roberta-base,12201,47516,OOM
xlm-roberta-large,6359,25526,OOM
distiluse-base-multilingual-cased,23693,91252,OOM
gpt2,13809,53409,105156
gpt2-medium,7166,19157,42460
gpt2-large,4991,5725,6487
DialoGPT-medium,7297,19064,42272
DialoGPT-large,5026,5713,6480
gpt-neo-125m,8586,18399,16490
gpt-neo-1.3B,1844,2266,2161
gpt-j-6b,765,879,635
pythia-70m,20828,82744,160160
pythia-160m,10854,43070,85652
pythia-410m,5724,19718,16849
pythia-1b,8442,33733,65775
pythia-1.4b,5138,6813,6259
pythia-2.8b,1892,2261,1573
opt-125m,11928,48873,94085
opt-350m,6183,24976,11030
opt-1.3b,6049,6335,2778
opt-2.7b,2302,2354,1417
opt-6.7b,419,924,266
opt-6.7b,419,924,266
longformer-base-4096,6510,26769,43375
longformer-base-4096,6510,26769,43375
longformer-large-4096,1522,6125,6459
longformer-large-4096,1522,6125,6459
prophetnet-large-uncased,OOM,OOM,OOM
prophetnet-large-uncased,OOM,OOM,OOM
bart-large,6285,11383,11190
bart-large,6285,11383,11190
pegasus-xsum,OOM,OOM,OOM
pegasus-xsum,OOM,OOM,OOM
bloom-560m,6854,24256,OOM
bloom-560m,6854,24256,OOM
bloom-1b1,7046,13999,OOM
bloom-1b1,7046,13999,OOM
bloom-1b7,7104,17830,OOM
bloom-1b7,7104,17830,OOM
bloom-3b,2887,2613,OOM
bloom-3b,2887,2613,OOM
bloom-7b1,439,655,OOM
bloom-7b1,439,655,OOM
bloomz-560m,7244,24322,OOM
bloomz-560m,7244,24322,OOM
bloomz-1b1,7353,14055,OOM
bloomz-1b1,7353,14055,OOM
bloomz-3b,2892,2599,OOM
bloomz-3b,2892,2599,OOM
Cerebras-GPT-111M,22638,90346,176390
Cerebras-GPT-111M,22638,90346,176390
Cerebras-GPT-256M,16334,64582,130296
Cerebras-GPT-256M,16334,64582,130296
Cerebras-GPT-590M,13597,53034,105364
Cerebras-GPT-590M,13597,53034,105364
Cerebras-GPT-1.3B,10374,39998,77879
Cerebras-GPT-1.3B,10374,39998,77879
Cerebras-GPT-2.7B,4943,6267,2231
Cerebras-GPT-2.7B,4943,6267,2231
Cerebras-GPT-6.7B,50,458,22
Cerebras-GPT-6.7B,50,458,22
phi-2,1752,1787,1487
phi-2,1752,1787,1487
stablelm-base-alpha-3b,6183,30974,4530
stablelm-base-alpha-3b,6183,30974,4530
codebert-base,12402,50429,OOM
codebert-base,12402,50429,OOM
codet5-base,OOM,OOM,OOM
codet5-base,OOM,OOM,OOM
scibert_scivocab_uncased,13060,51889,OOM
scibert_scivocab_uncased,13060,51889,OOM
Bio_ClinicalBERT,13097,51995,OOM
Bio_ClinicalBERT,13097,51995,OOM
biobert-base-cased-v1.1,12984,51601,OOM
biobert-base-cased-v1.1,12984,51601,OOM
finbert,13084,52213,OOM
finbert,13084,52213,OOM
legal-bert-base-uncased,12739,50149,OOM
legal-bert-base-uncased,12739,50149,OOM
CodeBERTa-small-v1,22073,87060,OOM
CodeBERTa-small-v1,22073,87060,OOM
GODEL-v1_1-base-seq2seq,OOM,OOM,OOM
GODEL-v1_1-base-seq2seq,OOM,OOM,OOM
blenderbot-400M-distill,OOM,OOM,OOM
blenderbot-400M-distill,OOM,OOM,OOM
blenderbot-1B-distill,OOM,OOM,OOM
blenderbot-1B-distill,OOM,OOM,OOM
blenderbot-3B,OOM,OOM,OOM
blenderbot-3B,OOM,OOM,OOM
pygmalion-350m,6105,24867,11074
pygmalion-350m,6105,24867,11074
pygmalion-1.3b,4965,6733,6284
pygmalion-1.3b,4965,6733,6284
pygmalion-2.7b,1005,1154,1099
pygmalion-2.7b,1005,1154,1099
