Model,Params (M),Memory (GB),Throughput@512,Throughput/Param,Params/GB,Overall Score
distilbert-base-uncased,66.4,0.01,101908,1535.62,4492.9,6899426.68
distilbert-base-cased,65.2,0.01,100060,1534.87,8393.6,12883141.39
distilroberta-base,82.1,0.03,90393,1100.77,3020.0,3324364.55
albert-base-v1,11.7,0.02,51905,4442.58,644.0,2860941.22
albert-base-v2,11.7,0.02,43562,3728.48,642.4,2395031.32
albert-large-v2,17.7,0.01,17743,1003.32,1393.0,1397577.57
squeezebert-uncased,51.1,0.22,56561,1106.99,228.0,252367.79
electra-small-discriminator,13.5,0.05,62639,4645.77,256.4,1191268.11
DialoGPT-small,124.4,0.26,54008,434.01,474.0,205709.85
TinyLlama-1.1B-Chat-v1.0,1034.5,1.68,5615,5.43,617.1,3349.44
phi-1,1313.4,-0.03,5391,4.10,0.0,0.00
phi-1_5,1313.4,0.01,5538,4.22,247334.7,1042970.27
bert-base-uncased,109.5,-0.01,50584,462.03,0.0,0.00
bert-base-cased,108.3,0.00,50614,467.30,63947.9,29883082.55
bert-large-uncased,335.1,-0.02,26052,77.73,0.0,0.00
bert-large-cased,333.6,0.00,26191,78.51,188460.8,14796891.25
roberta-base,124.6,-0.06,49285,395.40,0.0,0.00
roberta-large,355.4,-0.05,25985,73.12,0.0,0.00
deberta-base,138.6,0.16,27289,196.89,845.1,166394.04
deberta-large,405.2,0.20,5413,13.36,2052.1,27416.28
electra-base-discriminator,108.9,-0.22,61139,561.47,0.0,0.00
electra-large-discriminator,334.1,-0.22,32328,96.76,0.0,0.00
bart-base,139.4,-0.01,29175,209.26,0.0,0.00
xlm-roberta-base,278.0,0.22,47516,170.89,1275.5,217974.15
xlm-roberta-large,559.9,0.05,25526,45.59,11983.3,546333.49
distiluse-base-multilingual-cased,134.7,0.01,91252,677.27,16818.9,11391030.47
gpt2,124.4,0.00,53409,429.20,0.0,0.00
gpt2-medium,354.8,-0.00,19157,53.99,0.0,0.00
gpt2-large,774.0,0.00,5725,7.40,0.0,0.00
DialoGPT-medium,354.8,0.23,19064,53.73,1539.9,82733.49
DialoGPT-large,774.0,0.46,5713,7.38,1667.8,12310.57
gpt-neo-125m,125.2,-0.04,18399,146.96,0.0,0.00
gpt-neo-1.3B,1315.6,-0.05,2266,1.72,0.0,0.00
gpt-j-6b,5844.4,-4.28,879,0.15,0.0,0.00
pythia-70m,44.7,0.20,82744,1852.30,223.4,413789.58
pythia-160m,123.7,0.47,43070,348.21,265.5,92464.54
pythia-410m,353.8,0.51,19718,55.73,695.9,38778.32
pythia-1b,908.8,2.09,33733,37.12,435.8,16178.11
pythia-1.4b,1311.6,0.02,6813,5.19,57382.3,298046.92
pythia-2.8b,2646.4,1.79,2261,0.85,1478.5,1263.41
opt-125m,125.2,-1.47,48873,390.23,0.0,0.00
opt-350m,331.2,-1.79,24976,75.41,0.0,0.00
opt-1.3b,1315.8,0.90,6335,4.81,1462.1,7039.11
opt-2.7b,2651.6,1.13,2354,0.89,2336.2,2074.01
opt-6.7b,6658.5,-0.85,924,0.14,0.0,0.00
opt-6.7b,6658.5,-0.85,924,0.14,0.0,0.00
longformer-base-4096,148.7,0.60,26769,180.07,249.5,44930.19
longformer-base-4096,148.7,0.60,26769,180.07,249.5,44930.19
longformer-large-4096,434.6,1.25,6125,14.09,347.9,4903.20
longformer-large-4096,434.6,1.25,6125,14.09,347.9,4903.20
prophetnet-large-uncased,391.3,0.01,N/A,0.00,74768.7,0.00
prophetnet-large-uncased,391.3,0.01,N/A,0.00,74768.7,0.00
bart-large,406.3,1.27,11383,28.02,319.3,8944.72
bart-large,406.3,1.27,11383,28.02,319.3,8944.72
pegasus-xsum,569.7,-0.31,N/A,0.00,0.0,0.00
pegasus-xsum,569.7,-0.31,N/A,0.00,0.0,0.00
bloom-560m,559.2,-0.26,24256,43.38,0.0,0.00
bloom-560m,559.2,-0.26,24256,43.38,0.0,0.00
bloom-1b1,1065.3,0.86,13999,13.14,1232.7,16198.27
bloom-1b1,1065.3,0.86,13999,13.14,1232.7,16198.27
bloom-1b7,1722.4,1.36,17830,10.35,1262.1,13065.41
bloom-1b7,1722.4,1.36,17830,10.35,1262.1,13065.41
