Model,imdb,glue,yelp,squad,Avg Speed@512,Success Rate,Datasets Working
distilbert-base-uncased,20,20,20,20,11297,20.0%,7/8
distilbert-base-cased,20,20,20,20,11015,20.0%,7/8
distilroberta-base,20,20,20,20,10769,20.0%,7/8
albert-base-v1,20,20,20,20,5240,20.0%,7/8
albert-base-v2,20,20,20,20,3831,20.0%,7/8
albert-large-v2,20,20,20,20,1296,20.0%,7/8
squeezebert-uncased,20,20,20,20,3580,20.0%,7/8
DialoGPT-small,20,20,20,20,4075,20.0%,7/8
DialoGPT-medium,20,20,20,20,1311,20.0%,7/8
bert-base-uncased,20,20,20,20,3027,20.0%,7/8
bert-base-cased,20,20,20,20,2989,20.0%,7/8
bert-large-uncased,20,20,20,20,1173,20.0%,7/8
bert-large-cased,20,20,20,20,1224,20.0%,7/8
roberta-base,20,20,20,20,3318,20.0%,7/8
roberta-large,20,20,20,20,1199,20.0%,7/8
bart-base,20,20,20,20,3286,20.0%,7/8
deberta-base,20,20,20,20,1356,20.0%,7/8
deberta-large,20,20,20,20,573,20.0%,7/8
electra-small-discriminator,20,20,20,20,4835,20.0%,7/8
electra-base-discriminator,20,20,20,20,2989,20.0%,7/8
electra-large-discriminator,20,20,20,20,1041,20.0%,7/8
gpt2,20,20,20,20,3235,20.0%,7/8
gpt2-medium,20,20,20,20,1336,20.0%,7/8
gpt2-large,20,20,20,20,762,20.0%,7/8
DialoGPT-large,20,20,20,20,808,20.0%,7/8
gpt-neo-125m,20,20,20,20,2541,20.0%,7/8
gpt-neo-1.3B,20,20,20,20,547,20.0%,7/8
gpt-j-6b,20,20,20,20,143,20.0%,7/8
pythia-70m,20,20,20,20,14311,20.0%,7/8
pythia-160m,20,20,20,20,4379,20.0%,7/8
pythia-410m,20,20,20,20,1649,20.0%,7/8
pythia-1b,20,20,20,20,926,20.0%,7/8
pythia-1.4b,20,20,20,20,631,20.0%,7/8
pythia-2.8b,20,20,20,20,319,20.0%,7/8
