Model,Sentimen,Grammar,Paraphra,Qa,Lm,Long_tex,Summariz,Translat,Code,Financia,Conversa,Medical,Science,Multilin
distilbert-base-uncased,11328 (100.0%),11254 (100.0%),11269 (100.0%),11286 (100.0%),11164 (100.0%),11225 (100.0%),11126 (100.0%),11163 (100.0%),11208 (100.0%),11200 (100.0%),11190 (100.0%),11158 (100.0%),11116 (100.0%),11214 (100.0%)
distilbert-base-cased,10957 (100.0%),11128 (100.0%),11043 (100.0%),11032 (100.0%),11008 (100.0%),11030 (100.0%),10839 (100.0%),10902 (100.0%),11025 (100.0%),11034 (100.0%),10914 (100.0%),10816 (100.0%),10930 (100.0%),11010 (100.0%)
distilroberta-base,10749 (100.0%),10812 (100.0%),10858 (100.0%),10731 (100.0%),10667 (100.0%),10672 (100.0%),10574 (100.0%),10771 (100.0%),10740 (100.0%),10811 (100.0%),10782 (100.0%),10446 (100.0%),10680 (100.0%),10468 (100.0%)
albert-base-v1,5251 (100.0%),5222 (100.0%),5242 (100.0%),5231 (100.0%),5202 (100.0%),5157 (100.0%),5159 (100.0%),5166 (100.0%),5186 (100.0%),5143 (100.0%),5180 (100.0%),5145 (100.0%),5136 (100.0%),5106 (100.0%)
albert-base-v2,3849 (100.0%),3846 (100.0%),3814 (100.0%),3806 (100.0%),3762 (100.0%),3714 (100.0%),3696 (100.0%),3712 (100.0%),3744 (100.0%),3737 (100.0%),3732 (100.0%),3765 (100.0%),3769 (100.0%),3723 (100.0%)
albert-large-v2,1311 (100.0%),1282 (100.0%),1288 (100.0%),1285 (100.0%),1283 (100.0%),1285 (100.0%),1281 (100.0%),1277 (100.0%),1263 (100.0%),1276 (100.0%),1263 (100.0%),1274 (100.0%),1254 (100.0%),1248 (100.0%)
squeezebert-uncased,3604 (100.0%),3556 (100.0%),3512 (100.0%),3591 (100.0%),3630 (100.0%),3679 (100.0%),3714 (100.0%),3662 (100.0%),3610 (100.0%),3631 (100.0%),3642 (100.0%),3585 (100.0%),3622 (100.0%),3594 (100.0%)
DialoGPT-small,4134 (100.0%),4088 (100.0%),4052 (100.0%),3993 (100.0%),3899 (100.0%),3891 (100.0%),3846 (100.0%),3957 (100.0%),3959 (100.0%),3916 (100.0%),3944 (100.0%),3949 (100.0%),3863 (100.0%),3825 (100.0%)
DialoGPT-medium,1308 (100.0%),1327 (100.0%),1328 (100.0%),1300 (100.0%),1277 (100.0%),1341 (100.0%),1381 (100.0%),1360 (100.0%),1414 (100.0%),1314 (100.0%),1334 (100.0%),1377 (100.0%),1334 (100.0%),1393 (100.0%)
bert-base-uncased,2999 (100.0%),2955 (100.0%),2986 (100.0%),3125 (100.0%),3133 (100.0%),3091 (100.0%),3010 (100.0%),2965 (100.0%),2931 (100.0%),2986 (100.0%),3025 (100.0%),3034 (100.0%),3021 (100.0%),3016 (100.0%)
bert-base-cased,2975 (100.0%),3044 (100.0%),2984 (100.0%),2987 (100.0%),3014 (100.0%),3003 (100.0%),3082 (100.0%),3122 (100.0%),2974 (100.0%),3024 (100.0%),3194 (100.0%),3062 (100.0%),3056 (100.0%),3006 (100.0%)
bert-large-uncased,1125 (100.0%),1152 (100.0%),1172 (100.0%),1256 (100.0%),1268 (100.0%),1227 (100.0%),1230 (100.0%),1227 (100.0%),1213 (100.0%),1224 (100.0%),1209 (100.0%),1247 (100.0%),1250 (100.0%),1223 (100.0%)
bert-large-cased,1223 (100.0%),1204 (100.0%),1206 (100.0%),1245 (100.0%),1229 (100.0%),1226 (100.0%),1199 (100.0%),1197 (100.0%),1248 (100.0%),1221 (100.0%),1236 (100.0%),1232 (100.0%),1210 (100.0%),1223 (100.0%)
roberta-base,3413 (100.0%),3215 (100.0%),3330 (100.0%),3220 (100.0%),3233 (100.0%),3300 (100.0%),3307 (100.0%),3326 (100.0%),3260 (100.0%),3572 (100.0%),3332 (100.0%),3241 (100.0%),3204 (100.0%),3414 (100.0%)
roberta-large,1195 (100.0%),1190 (100.0%),1204 (100.0%),1207 (100.0%),1205 (100.0%),1217 (100.0%),1215 (100.0%),1183 (100.0%),1201 (100.0%),1219 (100.0%),1207 (100.0%),1199 (100.0%),1203 (100.0%),1192 (100.0%)
bart-base,3275 (100.0%),3233 (100.0%),3594 (100.0%),3175 (100.0%),3151 (100.0%),3517 (100.0%),3243 (100.0%),3099 (100.0%),3351 (100.0%),3348 (100.0%),3004 (100.0%),3112 (100.0%),3108 (100.0%),2963 (100.0%)
deberta-base,1340 (100.0%),1428 (100.0%),1352 (100.0%),1346 (100.0%),1344 (100.0%),1326 (100.0%),1399 (100.0%),1425 (100.0%),1345 (100.0%),1480 (100.0%),1359 (100.0%),1532 (100.0%),1348 (100.0%),1447 (100.0%)
deberta-large,573 (100.0%),591 (100.0%),541 (100.0%),582 (100.0%),571 (100.0%),556 (100.0%),512 (100.0%),564 (100.0%),561 (100.0%),616 (100.0%),536 (100.0%),605 (100.0%),593 (100.0%),582 (100.0%)
electra-small-discriminator,4812 (100.0%),5001 (100.0%),4715 (100.0%),4845 (100.0%),4644 (100.0%),4644 (100.0%),4703 (100.0%),4621 (100.0%),4556 (100.0%),4637 (100.0%),4626 (100.0%),4642 (100.0%),4741 (100.0%),4815 (100.0%)
electra-base-discriminator,2974 (100.0%),3041 (100.0%),3039 (100.0%),2962 (100.0%),2949 (100.0%),2980 (100.0%),2996 (100.0%),3004 (100.0%),3005 (100.0%),3038 (100.0%),3090 (100.0%),2986 (100.0%),2982 (100.0%),2974 (100.0%)
electra-large-discriminator,1039 (100.0%),1011 (100.0%),1013 (100.0%),1075 (100.0%),1063 (100.0%),1067 (100.0%),1051 (100.0%),1052 (100.0%),1074 (100.0%),1044 (100.0%),1023 (100.0%),1025 (100.0%),1051 (100.0%),1087 (100.0%)
gpt2,3238 (100.0%),3283 (100.0%),3213 (100.0%),3218 (100.0%),3196 (100.0%),3267 (100.0%),3202 (100.0%),3186 (100.0%),3264 (100.0%),3259 (100.0%),3301 (100.0%),3216 (100.0%),3073 (100.0%),3215 (100.0%)
gpt2-medium,1306 (100.0%),1347 (100.0%),1328 (100.0%),1379 (100.0%),1343 (100.0%),1359 (100.0%),1369 (100.0%),1392 (100.0%),1401 (100.0%),1347 (100.0%),1419 (100.0%),1348 (100.0%),1390 (100.0%),1360 (100.0%)
gpt2-large,761 (100.0%),743 (100.0%),705 (100.0%),802 (100.0%),812 (100.0%),807 (100.0%),818 (100.0%),786 (100.0%),795 (100.0%),816 (100.0%),791 (100.0%),793 (100.0%),824 (100.0%),811 (100.0%)
DialoGPT-large,779 (100.0%),845 (100.0%),803 (100.0%),834 (100.0%),830 (100.0%),802 (100.0%),815 (100.0%),820 (100.0%),808 (100.0%),803 (100.0%),831 (100.0%),813 (100.0%),813 (100.0%),830 (100.0%)
gpt-neo-125m,2463 (100.0%),2805 (100.0%),2551 (100.0%),2521 (100.0%),2557 (100.0%),2433 (100.0%),2615 (100.0%),2567 (100.0%),2385 (100.0%),2403 (100.0%),2542 (100.0%),2481 (100.0%),2422 (100.0%),2500 (100.0%)
gpt-neo-1.3B,553 (100.0%),533 (100.0%),536 (100.0%),552 (100.0%),552 (100.0%),550 (100.0%),550 (100.0%),553 (100.0%),552 (100.0%),551 (100.0%),557 (100.0%),552 (100.0%),553 (100.0%),555 (100.0%)
gpt-j-6b,136 (100.0%),149 (100.0%),147 (100.0%),147 (100.0%),154 (100.0%),153 (100.0%),153 (100.0%),151 (100.0%),154 (100.0%),153 (100.0%),154 (100.0%),154 (100.0%),154 (100.0%),153 (100.0%)
pythia-70m,14895 (100.0%),13846 (100.0%),13921 (100.0%),13864 (100.0%),13824 (100.0%),13555 (100.0%),13695 (100.0%),13580 (100.0%),12769 (100.0%),13228 (100.0%),13295 (100.0%),13661 (100.0%),13289 (100.0%),13128 (100.0%)
pythia-160m,4495 (100.0%),4248 (100.0%),4354 (100.0%),4283 (100.0%),4306 (100.0%),4297 (100.0%),4116 (100.0%),4344 (100.0%),4070 (100.0%),3996 (100.0%),4092 (100.0%),4379 (100.0%),4228 (100.0%),4269 (100.0%)
pythia-410m,1673 (100.0%),1624 (100.0%),1661 (100.0%),1620 (100.0%),1631 (100.0%),1659 (100.0%),1630 (100.0%),1584 (100.0%),1630 (100.0%),1623 (100.0%),1655 (100.0%),1648 (100.0%),1695 (100.0%),1632 (100.0%)
pythia-1b,926 (100.0%),921 (100.0%),938 (100.0%),924 (100.0%),934 (100.0%),937 (100.0%),943 (100.0%),947 (100.0%),946 (100.0%),943 (100.0%),945 (100.0%),943 (100.0%),960 (100.0%),937 (100.0%)
pythia-1.4b,632 (100.0%),623 (100.0%),631 (100.0%),635 (100.0%),614 (100.0%),641 (100.0%),636 (100.0%),616 (100.0%),628 (100.0%),603 (100.0%),636 (100.0%),606 (100.0%),638 (100.0%),628 (100.0%)
pythia-2.8b,318 (100.0%),320 (100.0%),318 (100.0%),323 (100.0%),314 (100.0%),315 (100.0%),325 (100.0%),321 (100.0%),324 (100.0%),316 (100.0%),316 (100.0%),325 (100.0%),325 (100.0%),320 (100.0%)
